,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,cervo,48,BR,1570315531,51,-22.19,-46.24,70.99,6.26
388,nome,40,US,1570315531,52,30.04,-94.42,90.0,0.51
389,katherine,0,AU,1570315532,53,-14.47,132.26,77.0,3.36
390,codrington,67,AU,1570315532,64,-28.95,153.24,69.01,4.23
391,oranjemund,2,ZA,1570315532,91,-28.55,16.43,57.04,8.61
392,kabinda,3,CD,1570315532,80,-6.14,24.49,70.24,1.3
393,san quintin,20,PH,1570315533,78,17.54,120.52,78.52,3.11
394,yichang,99,CN,1570315533,96,30.77,111.32,54.54,2.71
395,ternate,40,PH,1570315533,94,14.29,120.72,79.0,4.7
396,rundu,6,NA,1570315534,23,-17.91,19.77,82.4,5.82
397,sobolevo,100,RU,1570315534,81,54.43,31.9,36.07,11.52
398,luwuk,47,ID,1570315534,92,-0.95,122.79,66.75,3.85
399,lahaina,90,US,1570315534,65,20.87,-156.68,87.8,9.17
400,sao sebastiao,64,BR,1570315535,79,-3.15,-58.36,78.37,3.58
401,jaragua do sul,75,BR,1570315535,88,-26.49,-49.07,71.6,11.41
402,dingle,77,PH,1570315535,83,11.0,122.67,80.01,6.93
403,gaziantep,0,TR,1570315535,42,37.06,37.38,69.8,12.75
404,esperance,90,AU,1570315536,100,-33.86,121.89,51.8,3.36
405,rokytne,100,UA,1570315536,94,51.27,27.23,42.86,6.31
406,jinchang,100,CN,1570315536,85,38.52,102.19,39.78,3.87
407,tema,90,GH,1570315537,88,5.66,-0.01,78.8,11.41
408,amapa,51,HN,1570315537,91,15.09,-87.97,73.68,2.95
409,ust-nera,74,RU,1570315537,87,64.57,143.24,7.35,3.94
410,weener,83,DE,1570315537,93,53.16,7.35,48.0,5.82
411,puri,76,ID,1570315538,61,-7.54,112.45,79.35,14.56
412,maningrida,6,AU,1570315538,42,-12.05,134.23,84.67,8.28
413,batemans bay,100,AU,1570315538,84,-35.71,150.18,62.01,4.0
414,aykhal,90,RU,1570315538,100,65.95,111.51,24.8,6.71
415,alofi,52,NU,1570315538,61,-19.06,-169.92,77.0,17.22
416,north bend,1,US,1570315539,68,43.41,-124.22,64.99,12.75
417,rio gallegos,0,AR,1570315539,54,-51.62,-69.22,53.6,3.36
418,jumla,81,NP,1570315539,81,29.28,82.18,46.26,1.48
419,pevek,100,RU,1570315540,81,69.7,170.27,29.0,16.75
420,sohag,0,EG,1570315540,19,26.55,31.7,80.6,9.17
421,lorengau,7,PG,1570315540,65,-2.02,147.27,84.69,4.21
422,tigil,99,RU,1570315540,59,57.8,158.67,39.53,16.4
423,santander,100,PH,1570315541,86,9.42,123.33,77.06,4.97
424,itarema,30,BR,1570315541,71,-2.92,-39.92,76.84,11.27
425,ciudad bolivar,1,VE,1570315541,63,8.12,-63.55,82.05,3.96
426,sola,87,TZ,1570315541,67,-3.17,33.8,68.78,8.48
427,laguna,75,BZ,1570315542,74,16.17,-88.94,86.0,6.93
428,barabai,61,ID,1570315283,64,-2.59,115.38,83.29,0.85
429,warrnambool,74,AU,1570315542,71,-38.38,142.48,61.0,5.99
430,bhuj,0,IN,1570315542,76,23.25,69.67,79.99,11.41
431,abu samrah,0,SY,1570315542,53,35.3,37.18,64.48,6.98
432,vestmanna,98,FO,1570315543,81,62.16,-7.17,50.0,34.45
433,dutse,94,NG,1570315543,76,11.76,9.34,74.88,4.14
434,humaita,75,AR,1570315543,71,-24.93,-65.37,60.8,3.36
435,gejiu,3,CN,1570315543,91,23.36,103.16,58.75,2.13
436,puerto baquerizo moreno,75,EC,1570315543,78,-0.9,-89.6,71.6,17.22
437,monrovia,75,LR,1570315544,94,6.33,-10.8,77.0,5.48
438,arlit,94,NE,1570315544,14,18.74,7.39,91.42,3.24
439,tabou,100,CI,1570315544,94,4.42,-7.36,74.36,4.12
440,morant bay,90,JM,1570315545,88,17.88,-76.41,78.8,10.29
441,carnot,70,CF,1570315545,94,4.94,15.87,67.36,0.31
442,ulladulla,100,AU,1570315545,93,-35.36,150.48,59.0,8.05
443,mehamn,100,NO,1570315545,80,71.03,27.85,39.62,16.43
444,hokitika,3,NZ,1570315545,68,-42.72,170.96,52.08,6.37
445,hurricane,1,US,1570315546,7,37.18,-113.29,79.0,9.17
446,sukagawa,75,JP,1570315546,100,37.29,140.32,64.99,3.36
447,ures,0,MX,1570315546,26,30.73,-112.95,96.01,5.01
448,poli,77,CM,1570315546,95,8.48,13.24,69.79,1.72
449,soure,0,PT,1570315547,87,40.06,-8.63,60.8,2.24
450,beringovskiy,0,RU,1570315547,43,63.05,179.32,31.84,18.9
451,flinders,94,AU,1570315547,93,-34.58,150.85,64.0,8.05
452,hastings,78,NZ,1570315547,68,-39.64,176.84,49.23,5.21
453,evensk,2,RU,1570315548,51,61.92,159.24,31.84,8.39
454,taiobeiras,8,BR,1570315548,72,-15.81,-42.23,67.56,10.27
455,xiongyue,83,CN,1570315548,45,40.18,122.12,52.72,8.1
456,erdenet,35,MN,1570315549,53,49.03,104.04,34.11,5.1
457,tsogni,100,GA,1570315549,89,-2.79,10.1,77.04,13.15
458,sarangani,77,PH,1570315549,69,5.4,125.46,83.18,5.74
459,devils lake,90,US,1570315328,81,48.11,-98.87,48.2,19.46
460,biggar,100,CA,1570315550,79,52.06,-107.98,46.37,17.85
461,manthani,74,IN,1570315550,87,18.65,79.67,73.96,0.76
462,jian,0,IN,1570315550,78,25.65,87.89,76.7,1.29
463,chancay,90,PE,1570315551,87,-11.56,-77.27,60.8,12.75
464,thayetmyo,100,MM,1570315551,97,19.32,95.18,73.08,1.05
465,rosarito,40,CO,1570315551,65,4.91,-75.23,80.6,10.29
466,high level,75,CA,1570315552,62,58.52,-117.13,51.8,6.93
467,yulara,0,AU,1570315552,16,-25.24,130.99,73.4,8.05
468,yanam,83,IN,1570315552,94,16.73,82.22,75.49,4.25
469,madimba,40,CM,1570315553,100,4.42,9.93,77.0,1.92
470,eskisehir,40,TR,1570315553,93,39.78,30.52,55.4,3.36
471,craig,1,US,1570315553,10,40.52,-107.55,62.6,9.17
472,luba,20,PH,1570315553,78,17.32,120.7,78.52,3.11
473,smithers,75,CA,1570315553,43,54.78,-127.17,51.8,16.11
474,worcester,75,GB,1570315554,93,52.19,-2.22,57.0,11.41
475,vanimo,94,PG,1570315554,75,-2.67,141.3,81.25,7.92
476,benghazi,0,LY,1570315554,59,32.12,20.07,74.4,9.37
477,namibe,51,AO,1570315554,82,-15.19,12.15,66.75,13.96
478,troitsko-pechorsk,100,RU,1570315555,83,62.71,56.19,37.71,8.77
479,hami,0,CN,1570315555,34,42.84,93.51,50.58,3.62
480,grindavik,20,IS,1570315555,93,63.84,-22.43,48.2,10.29
481,astana,0,KZ,1570315556,86,51.13,71.43,37.4,8.95
482,obo,98,CF,1570315556,96,5.39,26.49,69.52,2.55
483,viedma,17,AR,1570315556,52,-40.81,-62.99,48.66,14.9
484,tuy hoa,100,VN,1570315556,77,13.08,109.3,80.93,7.99
485,aksarka,100,RU,1570315557,99,66.56,67.8,37.37,7.45
486,dobsice,75,CZ,1570315557,87,48.85,16.08,48.99,13.87
487,nola,40,CF,1570315557,98,3.52,16.05,68.1,0.27
488,kinshasa,75,CD,1570315260,74,-4.32,15.31,80.6,9.17
489,ballina,93,IE,1570315557,94,54.11,-9.15,55.0,5.01
490,watsa,100,CD,1570315558,98,3.04,29.53,63.78,1.68
491,birao,99,CF,1570315558,93,10.3,22.78,70.69,4.68
492,mragowo,0,PL,1570315558,84,53.86,21.31,33.3,6.95
493,milledgeville,90,US,1570315559,65,33.08,-83.23,84.2,13.87
494,sangin,71,AF,1570315559,52,32.07,64.85,61.67,7.0
495,venezuela,100,CU,1570315559,92,21.74,-78.8,74.56,5.01
496,williams lake,75,CA,1570315560,48,52.13,-122.14,51.8,6.93
497,warangal,77,IN,1570315560,88,17.99,79.6,73.78,0.58
498,zhezkazgan,0,KZ,1570315560,29,47.8,67.71,47.41,7.7
499,yarada,75,IN,1570315560,94,17.65,83.27,77.0,2.24
500,canavieiras,0,BR,1570315278,88,-15.68,-38.95,72.06,5.53
501,petauke,0,ZM,1570315561,49,-14.25,31.33,76.66,11.59
502,uthal,90,PK,1570315561,70,25.81,66.62,79.89,4.52
503,narsaq,33,GL,1570315561,32,60.91,-46.05,53.6,9.17
504,luderitz,0,NA,1570315561,82,-26.65,15.16,57.2,9.17
505,orlik,75,PL,1570315562,86,53.95,17.74,39.2,5.82
506,sibolga,100,ID,1570315562,96,1.74,98.78,70.98,1.96
507,ahipara,89,NZ,1570315562,89,-35.17,173.16,69.01,10.16
508,jalu,0,LY,1570315563,67,29.03,21.55,68.24,11.05
509,esmeraldas,0,BR,1570315331,50,-19.76,-44.31,75.2,10.29
510,lubumbashi,22,CD,1570315563,55,-11.66,27.48,67.68,5.99
511,vestmannaeyjar,62,IS,1570315563,87,63.44,-20.27,50.13,15.59
512,vikarabad,75,IN,1570315564,100,17.34,77.9,72.0,4.65
513,nushki,100,PK,1570315564,50,29.55,66.02,66.73,1.72
514,vanderhoof,16,CA,1570315469,47,54.02,-124.02,52.87,8.5
515,yumen,83,CN,1570315564,33,40.29,97.04,44.66,10.63
516,bandarbeyla,12,SO,1570315564,88,9.49,50.81,79.15,9.73
517,havre-saint-pierre,20,CA,1570315347,45,50.23,-63.6,46.4,8.05
518,maraa,79,BR,1570315565,77,-1.83,-65.37,77.83,2.0
519,bulungu,0,CD,1570315565,79,-4.54,18.6,73.73,1.45
520,zakamensk,49,RU,1570315565,64,50.38,103.29,30.96,2.97
521,khilok,100,RU,1570315565,73,51.36,110.46,35.66,6.51
522,khani,40,GE,1570315566,78,41.96,42.96,71.6,6.93
523,lucknow,40,IN,1570315566,94,26.84,80.93,75.2,3.36
524,farkhor,40,TJ,1570315566,67,37.49,69.4,62.6,8.95
525,lufilufi,40,WS,1570315566,59,-13.87,-171.6,89.6,19.46
526,opuwo,50,NA,1570315567,34,-18.06,13.84,66.22,3.42
527,javanrud,0,IR,1570315567,40,34.8,46.49,51.8,2.95
528,swiecie,0,PL,1570315567,86,53.41,18.45,41.0,5.82
529,luau,2,CD,1570315567,75,-10.7,22.23,69.23,2.53
530,bull savanna,100,JM,1570315568,72,17.89,-77.59,81.25,5.75
531,zhangye,100,CN,1570315568,85,38.94,100.46,41.31,3.02
532,ekuvukeni,0,ZA,1570315568,81,-28.47,30.16,61.35,1.86
